Date,tsla,fdx,qcom,de,amd,ups,aapl,ge,gm,avgo,ms,dis,cat,f,pypl,nvda,dow,tgt,hon,schw
2020-08-24,134.27999877929688,202.11776733398438,105.93447875976562,194.5760955810547,83.08000183105469,140.26901245117188,122.99358367919922,32.45597839355469,29.613462448120117,29.870471954345703,45.91887283325195,129.667236328125,130.44891357421875,5.765804290771484,198.8800048828125,12.681380271911621,37.312103271484375,139.69107055664062,147.09429931640625,33.28862380981445
2020-08-25,134.8893280029297,199.24496459960938,105.97101593017578,194.7655487060547,86.3499984741211,139.12301635742188,121.98457336425781,32.260169982910156,29.007707595825195,30.061853408813477,45.63828659057617,128.77426147460938,129.96095275878906,5.732761859893799,201.6699981689453,12.711039543151855,36.88331985473633,139.33554077148438,151.85684204101562,33.696197509765625
2020-08-26,143.54466247558594,200.6023406982422,106.05328369140625,199.8904571533203,86.0199966430664,139.00057983398438,123.64346313476562,31.721677780151367,28.802534103393555,30.37755584716797,45.34016418457031,131.14556884765625,130.5870361328125,5.633636951446533,203.47999572753906,12.733967781066895,37.49009323120117,139.20791625976562,152.57676696777344,33.57297897338867
2020-08-27,149.25,202.87086486816406,106.03501892089844,198.77268981933594,83.80000305175781,140.14651489257812,122.16539001464844,31.721677780151367,29.007707595825195,30.330162048339844,46.129302978515625,132.6834259033203,132.00494384765625,5.707980632781982,204.33999633789062,12.58966064453125,37.34446334838867,137.02011108398438,153.20443725585938,34.19856643676758
2020-08-28,147.55999755859375,206.30140686035156,108.02738189697266,198.83897399902344,85.55000305175781,142.02723693847656,121.96747589111328,32.35807800292969,29.33012580871582,30.8381290435791,46.374813079833984,134.47927856445312,132.24435424804688,5.732761859893799,204.47999572753906,13.107575416564941,37.829139709472656,137.51239013671875,155.41030883789062,34.388126373291016
2020-08-31,166.10667419433594,204.3862762451172,108.84992980957031,198.9905548095703,90.81999969482422,143.12950134277344,126.10365295410156,31.03633689880371,28.949085235595703,31.046506881713867,45.82242202758789,130.83799743652344,131.02899169921875,5.633636951446533,204.13999938964844,13.333633422851562,37.065162658691406,137.840576171875,152.79830932617188,33.67724609375
2020-09-01,158.35000610351562,209.6112060546875,111.50948333740234,206.21847534179688,92.18000030517578,142.2809600830078,131.12669372558594,30.30203628540039,29.10540771484375,32.15457534790039,46.10300064086914,132.50486755371094,134.4725341796875,5.641896724700928,208.92999267578125,13.782890319824219,38.83134078979492,137.23890686035156,155.03189086914062,33.93315887451172
2020-09-02,149.1233367919922,211.88894653320312,113.1817626953125,205.6690673828125,90.22000122070312,145.01898193359375,128.40994262695312,31.5258731842041,30.24852180480957,33.5380973815918,46.690460205078125,134.33045959472656,137.43727111816406,5.74102258682251,210.82000732421875,14.306939125061035,40.43321990966797,136.59165954589844,159.18527221679688,34.09429931640625
2020-09-03,135.6666717529297,206.0243682861328,106.97965240478516,199.70101928710938,82.54000091552734,138.2307586669922,118.12936401367188,30.93842887878418,28.802534103393555,31.488304138183594,46.25206756591797,132.19728088378906,135.12620544433594,5.633636951446533,204.99000549316406,12.979610443115234,39.751399993896484,133.11854553222656,153.49058532714844,33.54454040527344
2020-09-04,139.44000244140625,210.8260498046875,106.55696868896484,200.20310974121094,82.01000213623047,140.6450958251953,118.20753479003906,31.42796516418457,29.310585021972656,32.45953369140625,46.21699142456055,130.95706176757812,136.43365478515625,5.699720859527588,191.83999633789062,12.587693214416504,39.92390823364258,134.21241760253906,153.8505096435547,34.31230163574219
2020-09-08,110.06999969482422,206.0989532470703,100.86021423339844,199.1610565185547,78.69000244140625,136.85739135742188,110.25275421142578,30.057273864746094,31.635894775390625,31.34969139099121,43.9898681640625,133.14976501464844,136.74671936035156,5.8071064949035645,185.9499969482422,11.88015079498291,39.3735237121582,131.26805114746094,151.6168975830078,32.85260772705078
2020-09-09,122.09333038330078,210.48109436035156,104.7652587890625,204.16282653808594,81.91000366210938,139.787841796875,114.65035247802734,30.155179977416992,31.215774536132812,32.198402404785156,44.77024459838867,132.31634521484375,140.58615112304688,5.757544040679932,194.60000610351562,12.679940223693848,40.441444396972656,134.504150390625,152.98289489746094,33.20331954956055
2020-09-10,123.77999877929688,209.25970458984375,103.3134994506836,203.77442932128906,78.9800033569336,138.1170654296875,110.90752410888672,29.37192726135254,29.476675033569336,31.934574127197266,44.095096588134766,132.17742919921875,137.98048400878906,5.707980632781982,190.08999633789062,12.277798652648926,40.00605773925781,133.1276397705078,151.6168975830078,32.85260772705078
2020-09-11,124.23999786376953,217.04495239257812,104.21395874023438,204.5796356201172,76.33999633789062,138.9743194580078,109.45140075683594,29.127166748046875,29.760011672973633,32.168888092041016,44.14769744873047,130.71893310546875,141.63577270507812,5.78232479095459,184.0,12.13095760345459,40.95075988769531,134.5952911376953,153.62896728515625,33.40236282348633
2020-09-14,139.8733367919922,220.35482788085938,104.25072479248047,206.82473754882812,77.9000015258789,140.08529663085938,112.73495483398438,30.106231689453125,30.46346664428711,32.39247131347656,44.84915542602539,130.2228546142578,141.34117126464844,5.881450653076172,186.9600067138672,12.836753845214844,41.14791488647461,135.3154754638672,155.4933624267578,33.8668212890625
2020-09-15,149.9199981689453,220.66250610351562,107.11746978759766,204.39964294433594,78.93000030517578,141.3012237548828,112.9108657836914,29.861461639404297,30.85427474975586,32.813697814941406,44.182769775390625,130.2129364013672,136.82037353515625,5.815366744995117,186.02000427246094,12.955180168151855,41.95296859741211,135.8897705078125,155.3365020751953,32.93791198730469
2020-09-16,147.25332641601562,233.37059020996094,105.26142883300781,204.04913330078125,76.66000366210938,139.84910583496094,109.57846069335938,33.043426513671875,31.059450149536133,32.82532501220703,44.84915542602539,131.0562744140625,139.13143920898438,5.7988457679748535,180.91000366210938,12.47999095916748,40.827537536621094,134.90524291992188,156.905517578125,33.8668212890625
2020-09-17,141.14332580566406,227.57131958007812,105.5554428100586,208.3498992919922,76.55000305175781,139.744140625,107.82918548583984,34.51201629638672,31.18646240234375,32.72515869140625,44.060028076171875,129.20091247558594,141.67259216308594,6.013617992401123,175.7899932861328,12.429133415222168,41.87082290649414,134.558837890625,157.21934509277344,33.9426383972168
2020-09-18,147.38333129882812,226.3592529296875,101.70555114746094,210.27296447753906,74.93000030517578,139.66543579101562,104.40882110595703,33.679813385009766,30.776111602783203,32.17156982421875,43.91096115112305,127.62335205078125,140.3099365234375,5.972315311431885,176.07000732421875,12.1556396484375,41.377933502197266,135.66188049316406,155.70567321777344,34.15117263793945
2020-09-21,149.79666137695312,222.59251403808594,102.83570861816406,202.921875,77.94000244140625,140.8900909423828,107.5750961303711,31.085290908813477,29.310585021972656,31.74830436706543,42.402828216552734,124.42855834960938,133.80960083007812,5.674938678741455,183.2100067138672,12.482733726501465,39.357093811035156,136.60989379882812,148.9402618408203,33.40236282348633
2020-09-22,141.41000366210938,226.9559783935547,104.58148193359375,206.1142578125,77.69999694824219,141.6161346435547,109.26576232910156,30.595762252807617,28.76345443725586,32.63273620605469,41.762760162353516,126.21446990966797,135.4853057861328,5.600594520568848,187.77999877929688,12.602903366088867,39.266727447509766,140.456787109375,150.1493682861328,33.14644241333008
2020-09-23,126.78666687011719,225.0912322998047,101.59528350830078,203.24395751953125,74.7300033569336,141.31871032714844,104.6824722290039,29.91041374206543,28.66575050354004,31.73025894165039,40.70180130004883,122.31522369384766,132.93492126464844,5.484948635101318,181.61000061035156,12.090317726135254,38.39596176147461,137.65823364257812,146.5590057373047,32.96636199951172
2020-09-24,129.26333618164062,227.7018585205078,103.08380126953125,205.1101531982422,75.81999969482422,140.32144165039062,105.7574234008789,29.665645599365234,28.441038131713867,31.81418800354004,40.86841583251953,121.53141021728516,133.6346435546875,5.501468658447266,182.19000244140625,12.313948631286621,38.12487030029297,138.56072998046875,146.53134155273438,32.56825256347656
2020-09-25,135.77999877929688,233.2493896484375,105.206298828125,207.69625854492188,78.05999755859375,145.31637573242188,109.72505187988281,29.95985221862793,28.33356285095215,32.200443267822266,41.245445251464844,123.02959442138672,134.34364318847656,5.377562046051025,187.25,12.838250160217285,37.820919036865234,140.70289611816406,149.051025390625,33.11800003051758
2020-09-28,140.39999389648438,237.23062133789062,108.85407257080078,210.2066192626953,79.4800033569336,147.74822998046875,112.34406280517578,30.401161193847656,28.76345443725586,33.14805221557617,42.42037582397461,125.00401306152344,135.97332763671875,5.526250839233398,192.02000427246094,12.999056816101074,39.003849029541016,142.62640380859375,151.95840454101562,34.31230163574219
2020-09-29,139.69000244140625,236.3541717529297,107.85253143310547,209.29405212402344,81.7699966430664,147.3983612060547,111.49385833740234,30.008886337280273,28.07954216003418,32.873695373535156,41.42080307006836,124.41863250732422,135.7246856689453,5.451905727386475,194.5,13.189282417297363,38.25630569458008,143.0638885498047,151.83840942382812,33.91420364379883
2020-09-30,143.00332641601562,234.50807189941406,108.12818145751953,210.67239379882812,81.98999786376953,145.76254272460938,113.17471313476562,30.548259735107422,28.910005569458008,32.879112243652344,42.39406967163086,123.10897064208984,137.3267822265625,5.501468658447266,197.02999877929688,13.493189811706543,38.65061569213867,143.50149536132812,151.9307098388672,34.34074783325195
2020-10-01,149.3866729736328,236.89495849609375,109.8188247680664,208.21044921875,84.86000061035156,146.65476989746094,114.13243103027344,30.597293853759766,29.681852340698242,33.265377044677734,41.438331604003906,122.34498596191406,135.08021545410156,5.5758137702941895,196.94000244140625,13.576957702636719,37.878421783447266,144.5771484375,151.0723114013672,35.76251983642578
2020-10-02,138.3633270263672,237.93919372558594,106.0975570678711,213.67616271972656,81.80000305175781,146.05120849609375,110.4482192993164,31.332805633544922,29.760011672973633,32.20315933227539,42.06087875366211,121.59093475341797,138.05418395996094,5.691460132598877,191.91000366210938,13.02623176574707,38.864200592041016,145.03292846679688,152.8536834716797,35.70564651489258
