Date,orcl,ibm,avgo,gild,mmm,lmt,acn,blk,bmy,low,pypl,hd,bk,meta,tsla,tmus,abbv,crm,wmt,t
2024-06-24,139.1831817626953,173.49258422851562,158.6990203857422,70.0750961303711,102.43777465820312,468.8955993652344,304.6286315917969,794.2498779296875,41.13700866699219,227.28787231445312,59.4900016784668,348.7616882324219,59.03406524658203,498.43450927734375,182.5800018310547,177.37188720703125,171.16761779785156,239.1915740966797,68.70417022705078,18.141292572021484
2024-06-25,138.46681213378906,171.10350036621094,157.56077575683594,68.96546173095703,101.50282287597656,465.47467041015625,304.5889892578125,789.7166748046875,41.098045349121094,216.20162963867188,59.33000183105469,336.2774963378906,58.349239349365234,510.1133728027344,187.35000610351562,177.0529327392578,169.1957244873047,241.00588989257812,67.2283706665039,18.18020248413086
2024-06-26,137.53155517578125,170.37982177734375,158.6781005859375,68.6682357788086,100.9060287475586,464.400634765625,302.0603942871094,782.8175048828125,41.400020599365234,217.7242431640625,58.2599983215332,339.7563781738281,58.23013687133789,512.6309814453125,196.3699951171875,175.73721313476562,169.59207153320312,242.3915557861328,68.09590148925781,18.248292922973633
2024-06-27,139.47171020507812,169.36866760253906,158.14585876464844,68.19268798828125,102.61680603027344,464.53985595703125,300.6424255371094,776.53466796875,40.43564224243164,218.73931884765625,58.369998931884766,339.4283447265625,59.0936164855957,519.0648193359375,197.4199981689453,176.84361267089844,167.45175170898438,252.06130981445312,67.68706512451172,18.23856544494629
2024-06-28,140.48655700683594,171.45045471191406,160.0266571044922,67.97472381591797,101.6420669555664,464.5100402832031,300.860595703125,782.6882934570312,40.45512390136719,219.39614868164062,58.029998779296875,342.1617431640625,59.44099426269531,503.73944091796875,197.8800048828125,175.60763549804688,169.95872497558594,256.2980651855469,67.51754760742188,18.5887451171875
2024-07-01,142.3670196533203,173.58181762695312,163.54209899902344,68.00444030761719,100.07054138183594,463.85369873046875,300.0077819824219,777.66796875,40.2310791015625,212.52943420410156,57.810001373291016,334.1603698730469,59.65934371948242,504.1990051269531,209.86000061035156,178.49822998046875,168.81918334960938,255.4108123779297,67.2882080078125,18.462291717529297
2024-07-02,142.55606079101562,175.7627410888672,165.2046356201172,67.76667022705078,101.07512664794922,463.1177978515625,301.27703857421875,784.4876098632812,39.403079986572266,212.66876220703125,58.970001220703125,332.9477233886719,60.04642105102539,509.014404296875,231.25999450683594,179.39529418945312,164.44932556152344,255.39088439941406,67.87652587890625,18.306655883789062
2024-07-03,143.65049743652344,174.2063446044922,172.35511779785156,65.97341918945312,101.07512664794922,463.4459533691406,303.180908203125,784.4776611328125,39.02317428588867,212.27069091796875,59.63999938964844,331.6257629394531,60.01664733886719,509.4739685058594,246.38999938964844,177.8802490234375,162.34861755371094,260.13604736328125,68.04603576660156,18.170475006103516
2024-07-05,144.0982208251953,174.49383544921875,169.77259826660156,66.07250213623047,100.7767333984375,459.597412109375,296.62646484375,785.9489135742188,39.2209587097168,212.8578338623047,59.7599983215332,332.56005859375,59.431068420410156,539.3953857421875,251.52000427246094,178.65771484375,165.7275848388672,262.3690490722656,69.84092712402344,18.258020401000977
2024-07-08,144.29721069335938,176.09979248046875,174.01365661621094,66.9245376586914,100.55790710449219,459.19964599609375,296.95367431640625,785.5413818359375,39.547306060791016,216.1020965576172,59.09000015258789,337.5497741699219,59.0936164855957,528.8155517578125,252.94000244140625,178.5879364013672,165.0042266845703,256.56719970703125,69.48194885253906,18.29692840576172
2024-07-09,139.96917724609375,174.94984436035156,172.7627716064453,67.1325912475586,99.15547180175781,457.7477111816406,295.5555114746094,797.560302734375,40.407676696777344,215.28607177734375,59.0,335.054931640625,59.75859451293945,529.494873046875,262.3299865722656,178.46832275390625,166.5203094482422,252.03431701660156,69.70132446289062,18.287200927734375
2024-07-10,141.3521728515625,176.2980499267578,173.89703369140625,68.1134262084961,101.1248550415039,458.45379638671875,292.95751953125,807.2230834960938,40.664794921875,219.67478942871094,58.900001525878906,342.10211181640625,60.24492263793945,534.180419921875,263.260009765625,179.9335479736328,166.60948181152344,252.19406127929688,70.20987701416016,18.502437591552734
2024-07-11,142.43971252441406,176.76397705078125,170.03575134277344,69.32212829589844,102.6764907836914,457.8273010253906,296.781982421875,820.017333984375,40.298892974853516,228.6413116455078,59.9900016784668,351.65411376953125,61.00914764404297,512.2113647460938,241.02999877929688,178.22909545898438,168.36337280273438,250.7263641357422,69.60160827636719,18.62091827392578
