Date,f,spg,cof,xom,nvda,cop,wfc,gm,googl,gs,axp,lly,schw,bac,tgt,ms,intu,met,de,meta
2021-01-27,8.913042068481445,78.7369384765625,95.37952423095703,38.7410888671875,12.885933876037598,35.37245178222656,27.631126403808594,48.206146240234375,90.72235870361328,248.89743041992188,108.79077911376953,198.77745056152344,50.708560943603516,27.199153900146484,163.18893432617188,60.436439514160156,354.789306640625,43.00007629394531,267.61700439453125,271.3230895996094
2021-01-28,8.855217933654785,79.44576263427734,99.23409271240234,39.34762954711914,13.01885986328125,35.77272415161133,28.21727180480957,49.8670768737793,92.4311294555664,250.43643188476562,113.44412231445312,201.21942138671875,51.13676834106445,27.645938873291016,168.04026794433594,61.54625701904297,361.47259521484375,44.030452728271484,279.2756652832031,264.2044982910156
2021-01-29,8.698269844055176,75.71422576904297,96.83775329589844,38.305419921875,12.957756996154785,34.83294677734375,27.365524291992188,49.515350341796875,91.1423110961914,246.93051147460938,110.86000061035156,199.1604766845703,49.043331146240234,27.035030364990234,165.8342742919922,59.530826568603516,352.952392578125,42.769134521484375,275.3100280761719,257.5545349121094
2021-02-01,8.946083068847656,75.7223892211914,95.53742218017578,38.373756408691406,13.204401969909668,35.42466354370117,27.46627426147461,50.326271057128906,94.4197006225586,250.17230224609375,111.59424591064453,194.5351104736328,50.7846794128418,27.31768798828125,168.0311737060547,60.08129119873047,365.0194091796875,43.053375244140625,278.5606994628906,261.2234802246094
2021-02-02,8.970863342285156,75.331298828125,98.49104309082031,38.98029327392578,13.523361206054688,35.65091323852539,28.162315368652344,51.50846481323242,95.71898651123047,261.3181457519531,115.09375762939453,189.19146728515625,51.898014068603516,28.29332160949707,169.88011169433594,62.99346923828125,375.30810546875,43.461971282958984,288.408203125,266.27825927734375
2021-02-03,9.25171947479248,76.08087158203125,99.57774353027344,40.50943374633789,13.497176170349121,37.6000862121582,29.032371520996094,53.00330352783203,102.6897201538086,262.75689697265625,114.84584045410156,188.61688232421875,50.87032699584961,28.794811248779297,169.4407501220703,62.682701110839844,371.4388732910156,43.85279846191406,287.0736083984375,265.84954833984375
2021-02-04,9.392148971557617,77.5311050415039,104.63976287841797,41.28681945800781,13.630598068237305,38.296234130859375,30.006244659423828,52.88606262207031,102.4278793334961,267.4920959472656,119.09868621826172,193.07948303222656,52.52603530883789,29.63367462158203,172.6261749267578,64.18318939208984,383.7305908203125,46.53364181518555,294.8238220214844,265.69000244140625
2021-02-05,9.507795333862305,78.82655334472656,106.3302001953125,42.67072677612305,13.557525634765625,38.65300750732422,29.914371490478516,53.15962219238281,104.18352508544922,267.26446533203125,120.41459655761719,193.22312927246094,53.03988265991211,29.515140533447266,172.8733367919922,65.00889587402344,380.4573059082031,47.14332962036133,294.7951965332031,267.29522705078125
2021-02-08,9.54909610748291,80.61083984375,107.74198913574219,44.507408142089844,14.403189659118652,40.70659637451172,30.686115264892578,55.5728759765625,103.96855163574219,273.32000732421875,122.04515838623047,197.05368041992188,53.14455032348633,30.171640396118164,177.53244018554688,65.9056396484375,380.80908203125,48.57788848876953,302.2308654785156,265.7797546386719
2021-02-09,9.854734420776367,83.55207824707031,107.67696380615234,43.986148834228516,14.228120803833008,40.79362869262695,30.55748748779297,54.77171325683594,103.51318359375,273.6023254394531,120.79601287841797,193.1656951904297,53.54420471191406,30.043989181518555,177.84368896484375,65.91450500488281,382.57763671875,48.79307556152344,300.6007080078125,268.64117431640625
2021-02-10,9.714306831359863,86.54219818115234,109.24665069580078,44.411842346191406,14.727888107299805,41.1155891418457,30.502370834350586,53.61882400512695,104.0663070678711,277.080810546875,122.27400970458984,195.7321319580078,53.00181579589844,30.071338653564453,176.15029907226562,65.99443054199219,388.1861267089844,49.27723693847656,298.98974609375,271.0538635253906
2021-02-11,9.458230972290039,89.02716064453125,108.81941986083984,43.29981231689453,15.213189125061035,40.78187561035156,30.06136703491211,52.27054214477539,104.17953491210938,275.2960510253906,122.35028839111328,194.8089599609375,53.393218994140625,29.980165481567383,174.29212951660156,65.45284271240234,399.45184326171875,49.59104919433594,299.7713317871094,269.5783386230469
2021-02-12,9.458230972290039,89.01901245117188,109.36741638183594,43.89058303833008,14.924403190612793,41.414154052734375,30.8055477142334,52.368247985839844,104.49275970458984,278.9385070800781,123.59947967529297,199.33828735351562,55.55070877075195,30.42694091796875,175.22576904296875,66.24301147460938,404.50341796875,49.91382598876953,298.37957763671875,269.68798828125
2021-02-16,9.532574653625488,89.60563659667969,111.65074157714844,45.211124420166016,15.292495727539062,42.89825439453125,31.963171005249023,52.23146057128906,105.27433013916016,284.0743408203125,124.6102066040039,197.8669891357422,58.18553161621094,31.247573852539062,175.0787811279297,67.52153778076172,412.58392333984375,50.218666076660156,302.278564453125,273.1475830078125
2021-02-17,9.483012199401855,88.17982482910156,110.82129669189453,45.91482162475586,14.869290351867676,43.346126556396484,33.61691665649414,51.674556732177734,105.66934204101562,284.78466796875,122.58868408203125,198.54014587402344,58.519649505615234,31.375219345092773,177.8438262939453,66.98881530761719,406.2817077636719,49.68070983886719,297.5025329589844,272.748779296875
2021-02-18,9.44171142578125,86.7865982055664,109.05984497070312,45.19374084472656,14.792478561401367,41.87958526611328,33.956851959228516,50.961334228515625,105.03042602539062,282.1985168457031,122.5219497680664,193.4049835205078,59.12108612060547,31.174631118774414,175.83206176757812,66.43834686279297,405.87139892578125,49.30413818359375,286.22515869140625,268.58135986328125
2021-02-19,9.565616607666016,89.15750885009766,111.42707061767578,45.49781036376953,14.889738082885742,42.5206413269043,34.756168365478516,51.361915588378906,104.18252563476562,287.4072265625,125.59237670898438,193.21263122558594,59.10198211669922,31.493762969970703,173.45286560058594,67.47714233398438,401.9239196777344,50.272464752197266,314.5855407714844,260.77484130859375
2021-02-22,9.664743423461914,91.8787612915039,114.24165344238281,47.17455291748047,14.320395469665527,44.68092346191406,34.23247528076172,50.78547286987305,102.45928955078125,288.5455017089844,129.6354217529297,192.98187255859375,60.09482192993164,32.049964904785156,173.60903930664062,68.72015380859375,392.34844970703125,51.50081253051758,321.7447204589844,259.54852294921875
2021-02-23,9.598660469055176,93.79340362548828,114.20436096191406,47.82613754272461,14.107170104980469,45.752281188964844,34.122222900390625,49.935462951660156,102.7515640258789,290.6763000488281,130.57948303222656,194.7128143310547,59.827518463134766,32.3873291015625,171.1930694580078,68.80892944335938,389.94488525390625,51.491844177246094,321.6494140625,265.0618896484375
2021-02-24,10.135588645935059,96.95462036132812,116.01240539550781,49.25961685180664,14.46329116821289,48.009159088134766,35.17878341674805,51.68433380126953,103.93314361572266,301.0846252441406,133.39242553710938,196.674560546875,61.517242431640625,33.171478271484375,171.8544921875,70.92202758789062,403.7119445800781,53.401607513427734,329.51397705078125,263.5165710449219
2021-02-25,9.714306831359863,93.54898071289062,111.12883758544922,48.442962646484375,13.274725914001465,46.568973541259766,34.50810241699219,49.43718338012695,100.54852294921875,298.4620361328125,130.7129669189453,196.00143432617188,60.23801040649414,32.761173248291016,170.01722717285156,69.6346435546875,379.0894470214844,52.23602294921875,331.7733154296875,253.9254608154297
2021-02-26,9.664743423461914,92.00098419189453,112.01421356201172,47.23536682128906,13.680723190307617,45.673240661621094,33.231048583984375,50.15040588378906,100.84578704833984,290.92218017578125,128.9774932861328,197.0303497314453,58.92061233520508,31.648765563964844,168.51071166992188,68.24959564208984,381.1999206542969,51.64426803588867,332.8123474121094,256.8466491699219
2021-03-01,9.896036148071289,92.81571960449219,115.49981689453125,48.99898147583008,13.807660102844238,46.20014190673828,34.0762939453125,51.33260726928711,103.22738647460938,301.60906982421875,132.26727294921875,198.54974365234375,61.19265365600586,32.63351821899414,170.94505310058594,70.28279113769531,397.0971374511719,53.29400634765625,342.71710205078125,264.1147766113281
