Date,tsla,nvda,pypl,fdx,aapl,amzn,low,nflx,tmus,tgt,goog,googl,msft,blk,ups,qcom,ms,gm,avgo,cat
2020-08-13,324.20001220703125,457.4479675292969,193.07000732421875,202.29766845703125,114.64060974121094,3161.02001953125,154.62319946289062,481.3299865722656,115.37000274658203,133.1200714111328,1518.449951171875,1516.6500244140625,207.1759033203125,579.6458740234375,156.33248901367188,111.78831481933594,51.53112030029297,27.549999237060547,321.1752624511719,139.07603454589844
2020-08-14,330.1419982910156,462.28509521484375,191.4600067138672,207.0013427734375,114.53844451904297,3148.02001953125,153.27259826660156,482.67999267578125,115.48999786376953,134.81851196289062,1507.72998046875,1504.6300048828125,207.37445068359375,578.5643920898438,157.7555694580078,112.11358642578125,51.649627685546875,27.860000610351562,319.6153259277344,138.3740997314453
2020-08-17,367.12799072265625,493.1867370605469,196.2899932861328,205.0563507080078,114.2394027709961,3182.409912109375,157.31446838378906,482.3500061035156,116.87000274658203,136.50709533691406,1517.97998046875,1516.239990234375,208.74436950683594,582.0744018554688,157.32373046875,110.57588958740234,50.642311096191406,30.010000228881836,322.052734375,137.14813232421875
2020-08-18,377.4179992675781,490.13848876953125,194.57000732421875,205.3838348388672,115.19133758544922,3312.489990234375,156.8179168701172,491.8699951171875,116.0199966430664,135.85211181640625,1558.5999755859375,1555.780029296875,209.94554138183594,579.3018188476562,157.01951599121094,110.42803192138672,50.28678512573242,29.84000015258789,320.414794921875,136.80209350585938
2020-08-19,375.70599365234375,485.25140380859375,192.44000244140625,206.286865234375,115.33586883544922,3260.47998046875,157.18536376953125,484.5299987792969,115.13999938964844,153.03956604003906,1547.530029296875,1544.6099853515625,208.67181396484375,579.8327026367188,157.3629913330078,109.45219421386719,50.7311897277832,29.219999313354492,320.9704895019531,136.45606994628906
2020-08-20,400.3659973144531,485.35137939453125,198.17999267578125,207.2196502685547,117.89512634277344,3297.3701171875,157.4832763671875,497.8999938964844,115.4000015258789,151.07472229003906,1581.75,1576.25,213.52789306640625,573.5501098632812,156.58767700195312,109.07762908935547,50.16828155517578,28.829999923706055,320.60003662109375,135.92218017578125
2020-08-21,409.9960021972656,507.0384826660156,196.7899932861328,208.87684631347656,123.97055053710938,3284.719970703125,160.6015625,492.30999755859375,115.01000213623047,152.45408630371094,1580.4200439453125,1575.5699462890625,211.9755401611328,574.2186889648438,157.07164001464844,111.38417053222656,50.46455001831055,28.559999465942383,321.7602233886719,136.8614044189453
2020-08-24,402.8399963378906,508.507568359375,198.8800048828125,215.73388671875,125.4532699584961,3307.4599609375,164.4845428466797,488.80999755859375,115.26000213623047,152.0670623779297,1588.199951171875,1585.1500244140625,212.6422576904297,581.5040893554688,158.37538146972656,114.25255584716797,51.718753814697266,30.309999465942383,325.640625,140.0745849609375
2020-08-25,404.6679992675781,509.6968994140625,201.6699981689453,212.66757202148438,124.42408752441406,3346.489990234375,164.7725067138672,490.5799865722656,115.41000366210938,151.68003845214844,1608.219970703125,1605.8499755859375,215.40863037109375,581.2091674804688,157.08151245117188,114.29198455810547,51.40273666381836,29.690000534057617,327.72705078125,139.55059814453125
2020-08-26,430.6340026855469,510.6163635253906,203.47999572753906,214.11639404296875,126.11613464355469,3441.85009765625,169.21160888671875,547.530029296875,116.19000244140625,151.54112243652344,1652.3800048828125,1644.1300048828125,220.065673828125,582.1431274414062,156.94322204589844,114.38069152832031,51.06696319580078,29.479999542236328,331.1687316894531,140.22288513183594
