Date,nvda,ge,orcl,meta,avgo,lly,nflx,wmt,mmm,ibm,axp,rtx,bk,cat,cost,nee,gs,lmt,gm,tmus
2024-01-25,61.60377502441406,103.18325805664062,114.05088806152344,391.9997253417969,121.69047546386719,624.5830078125,562.0,53.75593185424805,77.974853515625,185.2345733642578,186.44512939453125,89.32694244384766,54.52703094482422,298.4620666503906,676.8504638671875,56.71700668334961,375.4997863769531,422.6780090332031,34.87678527832031,160.7743682861328
2024-01-26,61.017906188964844,104.18388366699219,113.69385528564453,392.9568786621094,119.2052230834961,636.15673828125,570.4199829101562,54.22800064086914,77.98296356201172,182.3066864013672,199.689697265625,88.80635070800781,54.51717758178711,297.1323547363281,683.7991333007812,57.20611572265625,370.6821594238281,421.5699157714844,34.89662551879883,160.37875366210938
2024-01-29,62.451595306396484,104.11241149902344,112.81120300292969,399.816162109375,120.48049926757812,641.8788452148438,575.7899780273438,54.48218536376953,78.2998046875,182.0343475341797,199.1246337890625,88.48219299316406,55.07880401611328,300.9230651855469,690.897216796875,58.272369384765625,373.4000549316406,419.7067565917969,35.10493087768555,161.2985382080078
2024-01-30,62.760528564453125,106.35983276367188,113.21781921386719,398.8591003417969,119.52973175048828,641.8590087890625,562.8499755859375,54.66374588012695,77.78799438476562,182.74441528320312,202.38619995117188,88.99298095703125,55.21674728393555,302.4215087890625,697.596923828125,57.988685607910156,379.59130859375,423.3055419921875,37.84270095825195,159.92381286621094
2024-01-31,61.5137939453125,105.16068267822266,110.77811431884766,388.9689025878906,116.74371337890625,642.4859008789062,564.1099853515625,54.551509857177734,76.65062713623047,178.64927673339844,199.0056610107422,89.50375366210938,54.645263671875,298.005615234375,691.7633056640625,57.352848052978516,376.78515625,421.07958984375,38.48746109008789,159.458984375
2024-02-01,63.01347732543945,107.53517150878906,114.57650756835938,393.5949401855469,118.72340393066406,657.2342529296875,567.510009765625,55.56166458129883,77.91797637939453,181.80087280273438,201.4642333984375,90.53512573242188,54.68467712402344,305.3289794921875,702.3511962890625,58.448448181152344,376.62811279296875,421.4326171875,38.55690002441406,160.71502685546875
2024-02-02,66.14580535888672,108.43255615234375,114.8343734741211,473.56414794921875,121.13050079345703,664.4193725585938,564.6400146484375,55.97761154174805,77.07307434082031,180.72116088867188,204.62667846679688,90.34850311279297,54.81277084350586,312.6722106933594,707.3360595703125,56.883304595947266,380.56268310546875,417.7063293457031,38.59658432006836,160.0029296875
2024-02-05,69.31713104248047,109.36170959472656,115.42941284179688,458.0309143066406,122.98652648925781,702.78271484375,562.0599975585938,55.67720413208008,75.33452606201172,178.41583251953125,204.16073608398438,90.60387420654297,54.201873779296875,318.93377685546875,709.010986328125,54.750789642333984,375.813720703125,413.5191955566406,37.485599517822266,160.23040771484375
2024-02-06,68.20836639404297,109.25846862792969,114.34841918945312,453.3550109863281,120.96330261230469,701.6184692382812,555.8800048828125,56.05683135986328,76.17130279541016,178.40609741210938,203.87322998046875,90.64318084716797,54.25114440917969,320.2436828613281,708.64208984375,55.005126953125,377.7467041015625,418.6673278808594,37.723670959472656,159.23150634765625
2024-02-07,70.08395385742188,109.98908233642578,116.3021469116211,468.18035888671875,124.36766815185547,721.8699340820312,559.2999877929688,55.91488265991211,76.23629760742188,178.7270965576172,207.2736053466797,90.29938507080078,54.45805740356445,321.10699462890625,717.60498046875,55.15186309814453,379.38525390625,421.7562561035156,38.408111572265625,160.0029296875
